S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
584,ARJUNARAO YEGUPATI,Communist Party of India (Marxist-Leninist) (Liberation),579,0,579,0.33,Prathipadu ,36,Andhra Pradesh 
585,AASINA SRINIVAS,Pyramid Party of India,281,0,281,0.16,Prathipadu ,36,Andhra Pradesh 
586,YEDIDA VARAPRASAD KUMAR,Republican Party of India (A),166,0,166,0.09,Prathipadu ,36,Andhra Pradesh 
587,KONDABAABU NETALA,Dalita Bahujana Party,316,1,317,0.18,Prathipadu ,36,Andhra Pradesh 
588,GOMPA SIVA,Bharatha Chaitanya Yuvajana Party,688,2,690,0.39,Prathipadu ,36,Andhra Pradesh 
589,DADISETTY VEERABABU,Jaibhim Rao Bharat Party,245,0,245,0.14,Prathipadu ,36,Andhra Pradesh 
590,KOTHAPALLI ARUJANA RAO,Independent,257,0,257,0.15,Prathipadu ,36,Andhra Pradesh 
591,GONTINA SIVARAJA,Independent,872,2,874,0.5,Prathipadu ,36,Andhra Pradesh 
592,NAMMI GANESH,Independent,408,0,408,0.23,Prathipadu ,36,Andhra Pradesh 
593,PILLI BALARAMUDU,Independent,335,3,338,0.19,Prathipadu ,36,Andhra Pradesh 
594,SURLA SRINIVASU,Independent,403,0,403,0.23,Prathipadu ,36,Andhra Pradesh 
595,NOTA,None of the Above,2577,5,2582,1.46,Prathipadu ,36,Andhra Pradesh 
596,BULLI RAJU PRATTIPATI,Bahujan Samaj Party,478,5,483,0.23,Pithapuram ,37,Andhra Pradesh 
597,MADEPALLI SATYANANDA RAO,Indian National Congress,1222,9,1231,0.59,Pithapuram ,37,Andhra Pradesh 
598,VANGA GEETHA VISWANATH,Yuvajana Sramika Rythu Congress Party,63556,559,64115,30.95,Pithapuram ,37,Andhra Pradesh 
599,KONIDALA PAWAN KALYAN,Janasena Party,132725,1669,134394,64.87,Pithapuram ,37,Andhra Pradesh 
600,JAGGARAPU MALLIKHARJUNA,Jaibhim Rao Bharat Party,590,4,594,0.29,Pithapuram ,37,Andhra Pradesh 
601,TAMANNA SIMHADRI,Bharatha Chaitanya Yuvajana Party,247,0,247,0.12,Pithapuram ,37,Andhra Pradesh 
602,PEDDIMSETTI VENKATESWARA RAO,Telugu Janata Party,288,1,289,0.14,Pithapuram ,37,Andhra Pradesh 
603,MADDURI VEERABABU,Pyramid Party of India,285,0,285,0.14,Pithapuram ,37,Andhra Pradesh 
604,EETI JAGADEESH,Independent,1039,0,1039,0.5,Pithapuram ,37,Andhra Pradesh 
605,YEDIDA BHASKARA RAO,Independent,421,2,423,0.2,Pithapuram ,37,Andhra Pradesh 
606,GOWRI MANI BOLISETTI,Independent,1495,0,1495,0.72,Pithapuram ,37,Andhra Pradesh 
607,NAGAM SURIBABU,Independent,265,0,265,0.13,Pithapuram ,37,Andhra Pradesh 
608,SAI SURYA NIKHIL VEGISETTI,Independent,282,0,282,0.14,Pithapuram ,37,Andhra Pradesh 
609,NOTA,None of the Above,2019,8,2027,0.98,Pithapuram ,37,Andhra Pradesh 
610,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,61263,1111,62374,30.21,Kakinada Rural,38,Andhra Pradesh 
611,PILLI SATYA LAKSHMI,Indian National Congress,2132,73,2205,1.07,Kakinada Rural,38,Andhra Pradesh 
612,SADHANALA RAJU,Bahujan Samaj Party,291,21,312,0.15,Kakinada Rural,38,Andhra Pradesh 
613,KORAMATI MAHARSHI,Telugu Nava Garjana Party,223,0,223,0.11,Kakinada Rural,38,Andhra Pradesh 
614,DADALA BABJI,Jaibhim Rao Bharat Party,310,0,310,0.15,Kakinada Rural,38,Andhra Pradesh 
615,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,131202,3212,134414,65.11,Kakinada Rural,38,Andhra Pradesh 
616,PATNALA VENKATESWARARAO,Jatiya Jana Sena Party,479,1,480,0.23,Kakinada Rural,38,Andhra Pradesh 
617,PALIVELA SWAROOP,Liberation Congress Party,345,2,347,0.17,Kakinada Rural,38,Andhra Pradesh 
618,MELAM VEERASWAMY,Navarang Congress Party,2358,7,2365,1.15,Kakinada Rural,38,Andhra Pradesh 
619,ANNAVARAM PITHANI,Independent,642,33,675,0.33,Kakinada Rural,38,Andhra Pradesh 
620,ANYAM VISWESWARA RAO,Independent,171,1,172,0.08,Kakinada Rural,38,Andhra Pradesh 
621,KARRI GOPALAKRISHNA,Independent,231,3,234,0.11,Kakinada Rural,38,Andhra Pradesh 
622,CHAGANTI SURYANARAYANA MURTHY,Independent,161,0,161,0.08,Kakinada Rural,38,Andhra Pradesh 
623,MADIPALLI RAJU,Independent,148,1,149,0.07,Kakinada Rural,38,Andhra Pradesh 
624,VELUGUBANTLA VEERABHADRARAO,Independent,233,2,235,0.11,Kakinada Rural,38,Andhra Pradesh 
625,NOTA,None of the Above,1744,39,1783,0.86,Kakinada Rural,38,Andhra Pradesh 
626,ARUN KUMAR PEYYALA,Bahujan Samaj Party,726,3,729,0.41,Peddapuram,39,Andhra Pradesh 
627,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam,104407,1278,105685,59.09,Peddapuram,39,Andhra Pradesh 
628,THUMMALA DORABABU,Indian National Congress,2145,23,2168,1.21,Peddapuram,39,Andhra Pradesh 
629,DAVULURI DORABABU,Yuvajana Sramika Rythu Congress Party,64699,535,65234,36.47,Peddapuram,39,Andhra Pradesh 
630,KESAVARAPU RAMA MOHAN RAO,India Praja Bandhu Party,366,1,367,0.21,Peddapuram,39,Andhra Pradesh 
631,BUNGA SATYANARAYANA,Jaibhim Rao Bharat Party,284,0,284,0.16,Peddapuram,39,Andhra Pradesh 
632,GANGAVARAPU LAVANYA,Independent,294,1,295,0.16,Peddapuram,39,Andhra Pradesh 
633,DUVVADA KANNAYYA@KANNABABU,Independent,1225,2,1227,0.69,Peddapuram,39,Andhra Pradesh 
634,MOTUPALLI SIVA KUMAR,Independent,480,0,480,0.27,Peddapuram,39,Andhra Pradesh 
635,RAYUDU MOJESH BABU,Independent,360,0,360,0.2,Peddapuram,39,Andhra Pradesh 
636,NOTA,None of the Above,2009,11,2020,1.13,Peddapuram,39,Andhra Pradesh 
637,KOLLABATHULA SATYANARAYANA (SATYAM),Bahujan Samaj Party,1715,104,1819,1.08,Gannavaram (sc),46,Andhra Pradesh 
638,CHITTIBABU KONDETI,Indian National Congress,1526,57,1583,0.94,Gannavaram (sc),46,Andhra Pradesh 
639,VIPPARTHI . VENUGOPALARAO,Yuvajana Sramika Rythu Congress Party,61913,828,62741,37.3,Gannavaram (sc),46,Andhra Pradesh 
640,KHANDAVALLI SURENDRA.,Pyramid Party of India,720,0,720,0.43,Gannavaram (sc),46,Andhra Pradesh 
641,GIDDI. SATYANARAYANA,Janasena Party,94645,1463,96108,57.14,Gannavaram (sc),46,Andhra Pradesh 
642,DUKKIPATI VIJAYA CHANDRA,Jaibhim Rao Bharat Party,380,0,380,0.23,Gannavaram (sc),46,Andhra Pradesh 
643,NAKKA SEKHAR,Liberation Congress Party,232,1,233,0.14,Gannavaram (sc),46,Andhra Pradesh 
644,BALAKRISHNA KOTA,Jai Bharat National Party,439,3,442,0.26,Gannavaram (sc),46,Andhra Pradesh 
645,SATYANARAYANA GIDDI,Navarang Congress Party,936,3,939,0.56,Gannavaram (sc),46,Andhra Pradesh 
646,SATYANARAYANA. GIDDI,Jatiya Jana Sena Party,318,3,321,0.19,Gannavaram (sc),46,Andhra Pradesh 
647,ANANDARAO KOLLABATHULA,Independent,231,3,234,0.14,Gannavaram (sc),46,Andhra Pradesh 
648,GANNAVARAPU CHANDRA ANAND,Independent,211,2,213,0.13,Gannavaram (sc),46,Andhra Pradesh 
649,NAGABATHULA HEMANTH KUMAR,Independent,419,0,419,0.25,Gannavaram (sc),46,Andhra Pradesh 
650,MAKEY DAVY PRASAD.,Independent,294,5,299,0.18,Gannavaram (sc),46,Andhra Pradesh 
651,NOTA,None of the Above,1744,7,1751,1.04,Gannavaram (sc),46,Andhra Pradesh 
652,ESWARA RAO ROUTHU,Indian National Congress,1146,23,1169,0.54,Kothapeta,47,Andhra Pradesh 
653,KANDRU VENKATESWARA RAO,Bahujan Samaj Party,585,14,599,0.28,Kothapeta,47,Andhra Pradesh 
654,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,77098,709,77807,35.75,Kothapeta,47,Andhra Pradesh 
655,BANDARU SATYANANDA RAO,Telugu Desam,132951,1335,134286,61.7,Kothapeta,47,Andhra Pradesh 
656,ARUNA KIRAN SATYALA,Jai Bharat National Party,429,1,430,0.2,Kothapeta,47,Andhra Pradesh 
657,DADALA CHANDRA RAO,Liberation Congress Party,130,0,130,0.06,Kothapeta,47,Andhra Pradesh 
658,BANDARU SRINIVASA RAO,Navarang Congress Party,92,0,92,0.04,Kothapeta,47,Andhra Pradesh 
659,BOCHA SRINIVASARAO,Independent,685,6,691,0.32,Kothapeta,47,Andhra Pradesh 
660,MERLA SASTRULU,Independent,69,0,69,0.03,Kothapeta,47,Andhra Pradesh 
661,RAYUDU RAJU,Independent,194,0,194,0.09,Kothapeta,47,Andhra Pradesh 
662,SALADI V.V.D.S.MURTHY,Independent,194,0,194,0.09,Kothapeta,47,Andhra Pradesh 
663,AMBARUKHANA SUDHAKAR,Independent,244,3,247,0.11,Kothapeta,47,Andhra Pradesh 
664,SUNKARA LAKSHMI MANI KUMARI,Independent,145,1,146,0.07,Kothapeta,47,Andhra Pradesh 
665,NOTA,None of the Above,1558,17,1575,0.72,Kothapeta,47,Andhra Pradesh 
666,KAMANA PRABHAKARA RAO,Indian National Congress,1450,34,1484,0.76,Mandapeta,48,Andhra Pradesh 
667,GURRAPU KOTTIYYA,Bahujan Samaj Party,451,2,453,0.23,Mandapeta,48,Andhra Pradesh 
668,JOGESWARA RAO.V,Telugu Desam,115088,1221,116309,59.94,Mandapeta,48,Andhra Pradesh 
669,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,71086,788,71874,37.04,Mandapeta,48,Andhra Pradesh 
670,NALLA CHINNA RAO,Liberation Congress Party,293,0,293,0.15,Mandapeta,48,Andhra Pradesh 
671,NANDIKOLLA RAJU,Navataram Party,131,0,131,0.07,Mandapeta,48,Andhra Pradesh 
672,SADEY. DAVID RAJU,Republican Party of India (A),118,2,120,0.06,Mandapeta,48,Andhra Pradesh 
673,KONA SURYA BHASKARA RAO,Independent,103,0,103,0.05,Mandapeta,48,Andhra Pradesh 
674,MANDAPALLI RAVI,Independent,100,1,101,0.05,Mandapeta,48,Andhra Pradesh 
675,RAYUDU SRINIVASU,Independent,138,2,140,0.07,Mandapeta,48,Andhra Pradesh 
676,VEERA VENKATA SATYANARAYANA KONA,Independent,157,0,157,0.08,Mandapeta,48,Andhra Pradesh 
677,SRIKRISHNA KONA,Independent,151,1,152,0.08,Mandapeta,48,Andhra Pradesh 
678,SATYANARAYANA MARNI,Independent,1148,13,1161,0.6,Mandapeta,48,Andhra Pradesh 
679,NOTA,None of the Above,1541,27,1568,0.81,Mandapeta,48,Andhra Pradesh 
680,JAKKAMPUDI RAJA,Yuvajana Sramika Rythu Congress Party,71439,507,71946,37.68,Rajanagaram,49,Andhra Pradesh 
681,MUNDRU VENKATA SRINIVAS(PEDABABU),Indian National Congress,1879,22,1901,1.0,Rajanagaram,49,Andhra Pradesh 
682,RAVI KUMAR ELLAMILLI,Bahujan Samaj Party,1426,3,1429,0.75,Rajanagaram,49,Andhra Pradesh 
683,KOTHAPALLI BHASKARA RAMAM,Rashtriya Praja Congress (Secular),1707,2,1709,0.9,Rajanagaram,49,Andhra Pradesh 
684,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Party,105113,882,105995,55.51,Rajanagaram,49,Andhra Pradesh 
685,BATHULA BALA RAMA KRISHNA S/O RAMARAO BATHULA,Jatiya Jana Sena Party,842,2,844,0.44,Rajanagaram,49,Andhra Pradesh 
686,BATTULA BALARAMAKRISHNA S/O SRINIVASA RAO BATTULA,Navarang Congress Party,1087,4,1091,0.57,Rajanagaram,49,Andhra Pradesh 
687,MADDA VENKATA RAO (JOSHUA),India Praja Bandhu Party,222,1,223,0.12,Rajanagaram,49,Andhra Pradesh 
688,P. SATYANARAYANA,Jai Bharat National Party,350,0,350,0.18,Rajanagaram,49,Andhra Pradesh 
689,ANAND KUMAR BARRE,Independent,871,3,874,0.46,Rajanagaram,49,Andhra Pradesh 
690,KUSUME GANDHI,Independent,525,1,526,0.28,Rajanagaram,49,Andhra Pradesh 
691,BATHULA VENKATALAKSHMI,Independent,1074,1,1075,0.56,Rajanagaram,49,Andhra Pradesh 
692,NOTA,None of the Above,2968,7,2975,1.56,Rajanagaram,49,Andhra Pradesh 
693,ADIREDDY SRINIVAS,Telugu Desam,121464,1827,123291,67.69,Rajahmundry City,50,Andhra Pradesh 
694,BODA VENKAT,Indian National Congress,1860,58,1918,1.05,Rajahmundry City,50,Andhra Pradesh 
695,MARGANI BHARAT RAM,Yuvajana Sramika Rythu Congress Party,51146,741,51887,28.49,Rajahmundry City,50,Andhra Pradesh 
696,SUREKHA PARAMATA,Bahujan Samaj Party,1084,12,1096,0.6,Rajahmundry City,50,Andhra Pradesh 
697,B.KRISHNA CHAITANYA,Jai Bharat National Party,176,2,178,0.1,Rajahmundry City,50,Andhra Pradesh 
698,MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),1524,30,1554,0.85,Rajahmundry City,50,Andhra Pradesh 
699,YANAMADALA MOHAN BABU,Pyramid Party of India,156,0,156,0.09,Rajahmundry City,50,Andhra Pradesh 
700,VEMANA GANESH,Jana Vaahini Party,118,0,118,0.06,Rajahmundry City,50,Andhra Pradesh 
701,"VANGURI VIJAYA SATYA M.A, M.A, B.ED",Liberation Congress Party,198,1,199,0.11,Rajahmundry City,50,Andhra Pradesh 
702,BETHALA VENKATESWARA RAO,Independent,183,2,185,0.1,Rajahmundry City,50,Andhra Pradesh 
703,NOTA,None of the Above,1546,23,1569,0.86,Rajahmundry City,50,Andhra Pradesh 
704,KONDAPALLI SURIBABU,Bahujan Samaj Party,1201,16,1217,0.6,Rajahmundry Rural,51,Andhra Pradesh 
705,GOPALAKRISHNA CHELLUBOYINA(VENU),Yuvajana Sramika Rythu Congress Party,64137,833,64970,32.15,Rajahmundry Rural,51,Andhra Pradesh 
706,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desam,127193,1867,129060,63.87,Rajahmundry Rural,51,Andhra Pradesh 
707,BALEPALLI MURALIDHAR,Indian National Congress,2660,68,2728,1.35,Rajahmundry Rural,51,Andhra Pradesh 
708,DUGGIRALA SRIDEVI,Bharatha Chaitanya Yuvajana Party,356,4,360,0.18,Rajahmundry Rural,51,Andhra Pradesh 
709,MANNAVA RAGHURAM,Jai Bharat National Party,308,2,310,0.15,Rajahmundry Rural,51,Andhra Pradesh 
710,CHINTALAPATI PAVAN KUMAR,Independent,714,0,714,0.35,Rajahmundry Rural,51,Andhra Pradesh 
711,NOTA,None of the Above,2650,49,2699,1.34,Rajahmundry Rural,51,Andhra Pradesh 
712,JUTHUKA NAGESWARA RAO,Bahujan Samaj Party,690,6,696,0.36,Jaggampeta,52,Andhra Pradesh 
713,JYOTHULA NEHRU,Telugu Desam,112591,1002,113593,58.56,Jaggampeta,52,Andhra Pradesh 
714,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,60496,421,60917,31.4,Jaggampeta,52,Andhra Pradesh 
715,MAROTHI SIVA GANESH,Indian National Congress,1448,9,1457,0.75,Jaggampeta,52,Andhra Pradesh 
716,KOTHAPALLI SURIBABU,Republican Party of India (Khobragade),261,1,262,0.14,Jaggampeta,52,Andhra Pradesh 
717,CHITTURI NAGA LAKSHMI,Pyramid Party of India,86,0,86,0.04,Jaggampeta,52,Andhra Pradesh 
718,VALLURI SATYANANDAM,Jaibhim Rao Bharat Party,251,0,251,0.13,Jaggampeta,52,Andhra Pradesh 
719,SADHE NARENDRABABU,Liberation Congress Party,473,1,474,0.24,Jaggampeta,52,Andhra Pradesh 
720,KALDARI RANI,Independent,594,1,595,0.31,Jaggampeta,52,Andhra Pradesh 
721,DOMMETI KUSALANNA,Independent,275,0,275,0.14,Jaggampeta,52,Andhra Pradesh 
722,PATAMSETTI SURYACHANDRA,Independent,12467,64,12531,6.46,Jaggampeta,52,Andhra Pradesh 
723,BALIREDDY SOLOMON RAJU,Independent,286,1,287,0.15,Jaggampeta,52,Andhra Pradesh 
724,BODDETI APPARAO,Independent,297,1,298,0.15,Jaggampeta,52,Andhra Pradesh 
725,DR. SANKUMALLA APPARAO,Independent,329,0,329,0.17,Jaggampeta,52,Andhra Pradesh 
726,NOTA,None of the Above,1913,15,1928,0.99,Jaggampeta,52,Andhra Pradesh 
727,KAKURU KANNAM REDDY,Bahujan Samaj Party,2186,5,2191,1.04,Rampachodavaram,53,Andhra Pradesh 
728,NAGULAPALLI DHANALAKSHMI,Yuvajana Sramika Rythu Congress Party,80130,818,80948,38.45,Rampachodavaram,53,Andhra Pradesh 
729,MIRIYALA SIRISHA DEVI,Telugu Desam,88254,1833,90087,42.8,Rampachodavaram,53,Andhra Pradesh 
730,LOTHA RAMARAO,Communist Party of India (Marxist),19971,1294,21265,10.1,Rampachodavaram,53,Andhra Pradesh 
731,DUMANTHU VISWANADHAM,Republican Party of India,647,4,651,0.31,Rampachodavaram,53,Andhra Pradesh 
732,MADDITI ANJI REDDY,Bharat Adivasi Party,746,8,754,0.36,Rampachodavaram,53,Andhra Pradesh 
733,MANUPUDI SUBBA RAO,Pyramid Party of India,631,0,631,0.3,Rampachodavaram,53,Andhra Pradesh 
734,KUNJA SRINU,Independent,716,33,749,0.36,Rampachodavaram,53,Andhra Pradesh 
735,PALLALA LATCHI REDDY,Independent,3026,35,3061,1.45,Rampachodavaram,53,Andhra Pradesh 
736,PALADUGU LAKSHMI PRASANNA,Independent,798,2,800,0.38,Rampachodavaram,53,Andhra Pradesh 
737,PALADUGU SRI VENKATESWARA RAO,Independent,878,0,878,0.42,Rampachodavaram,53,Andhra Pradesh 
738,BANGARU VENKATESH,Independent,1215,9,1224,0.58,Rampachodavaram,53,Andhra Pradesh 
739,NOTA,None of the Above,7249,20,7269,3.45,Rampachodavaram,53,Andhra Pradesh 
740,ARIGELA ARUNA KUMARI,Indian National Congress,1863,34,1897,1.19,Kovvu,54,Andhra Pradesh 
741,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,58254,543,58797,36.95,Kovvu,54,Andhra Pradesh 
742,MUPPIDI VENKATESWARA RAO,Telugu Desam,91720,1023,92743,58.29,Kovvu,54,Andhra Pradesh 
743,BONTA SYAM RAVI PRAKASH,Liberation Congress Party,649,3,652,0.41,Kovvu,54,Andhra Pradesh 
744,MUPPIDI SEKHAR BABU,Navarang Congress Party,192,2,194,0.12,Kovvu,54,Andhra Pradesh 
745,SEKHAR BABU KOYYA,Rashtriya Praja Congress (Secular),1247,8,1255,0.79,Kovvu,54,Andhra Pradesh 
746,UBA SRIKANTH,Independent,369,0,369,0.23,Kovvu,54,Andhra Pradesh 
747,KAMALA ARUGOLANU,Independent,151,1,152,0.1,Kovvu,54,Andhra Pradesh 
748,KOKKIRIPATI CHINABABU,Independent,162,1,163,0.1,Kovvu,54,Andhra Pradesh 
749,TATAPUDI PRAVEEN,Independent,166,0,166,0.1,Kovvu,54,Andhra Pradesh 
750,BONTHA KISHORE,Independent,254,4,258,0.16,Kovvu,54,Andhra Pradesh 
751,NOTA,None of the Above,2444,21,2465,1.55,Kovvu,54,Andhra Pradesh 
752,GUMMAPU. CHITRASENU,Bahujan Samaj Party,1209,51,1260,0.69,Nidadavole,55,Andhra Pradesh 
753,PEDDIREDDI SUBBARAO,Indian National Congress,1471,24,1495,0.82,Nidadavole,55,Andhra Pradesh 
754,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,68800,595,69395,38.02,Nidadavole,55,Andhra Pradesh 
755,KASTURI SATYA PRASAD,All India Forward Bloc,1680,11,1691,0.93,Nidadavole,55,Andhra Pradesh 
756,KOTTIYADA DURGA,Jatiya Jana Sena Party,450,4,454,0.25,Nidadavole,55,Andhra Pradesh 
757,KANCHERLA DURGESH,Navarang Congress Party,1652,16,1668,0.91,Nidadavole,55,Andhra Pradesh 
758,KANDULA DURGESH,Janasena Party,101609,1090,102699,56.27,Nidadavole,55,Andhra Pradesh 
759,PULAMALA VEERA BHADRAM,Jai Bharat National Party,310,1,311,0.17,Nidadavole,55,Andhra Pradesh 
760,MUKKAMALA ANNAVARA PRASAD. (PYRAMID PRASAD),Pyramid Party of India,277,1,278,0.15,Nidadavole,55,Andhra Pradesh 
761,ARIGELA SATYA VARA PRASAD,Independent,477,1,478,0.26,Nidadavole,55,Andhra Pradesh 
762,VENKATESWARA NAIDU GIDDA,Independent,347,0,347,0.19,Nidadavole,55,Andhra Pradesh 
763,SRINIVASA NAIDU GIDDA,Independent,282,1,283,0.16,Nidadavole,55,Andhra Pradesh 
764,NOTA,None of the Above,2137,7,2144,1.17,Nidadavole,55,Andhra Pradesh 
765,ARJUNARAO KOLUKULURI,Indian National Congress,1913,32,1945,1.19,Palacole,57,Andhra Pradesh 
766,ELIYA KOLLABATHULA,Bahujan Samaj Party,461,12,473,0.29,Palacole,57,Andhra Pradesh 
767,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party,44590,579,45169,27.67,Palacole,57,Andhra Pradesh 
768,DR.NIMMALA RAMANAIDU,Telugu Desam,111471,1643,113114,69.3,Palacole,57,Andhra Pradesh 
769,POLISETTI SIVA KRISHNA,Pyramid Party of India,271,1,272,0.17,Palacole,57,Andhra Pradesh 
770,BEZAWADA TULASIRAO,Jai Bharat National Party,116,4,120,0.07,Palacole,57,Andhra Pradesh 
771,ANANTHA NAGA BHUSHANAM TAMMA,Independent,63,1,64,0.04,Palacole,57,Andhra Pradesh 
772,KOTIKALAPUDI PRADEEP,Independent,64,0,64,0.04,Palacole,57,Andhra Pradesh 
773,JALLA VASU,Independent,68,0,68,0.04,Palacole,57,Andhra Pradesh 
774,TANETI CHINNABBULU,Independent,45,0,45,0.03,Palacole,57,Andhra Pradesh 
775,TANETI PRASAD,Independent,66,0,66,0.04,Palacole,57,Andhra Pradesh 
776,NALLI RAJESH,Independent,74,1,75,0.05,Palacole,57,Andhra Pradesh 
777,PALAPARTHI JOHN SON,Independent,421,1,422,0.26,Palacole,57,Andhra Pradesh 
778,VASANTHALA D.V. SURESH,Independent,137,0,137,0.08,Palacole,57,Andhra Pradesh 
779,SALADI SRI RAMA MURTHY,Independent,259,1,260,0.16,Palacole,57,Andhra Pradesh 
780,NOTA,None of the Above,900,19,919,0.56,Palacole,57,Andhra Pradesh 
781,KANURI UDAYA BHASKARA KRISHNA PRASAD,Indian National Congress,1883,32,1915,1.32,Narasapuram,58,Andhra Pradesh 
782,BANDELA RAJENDRA PRASAD,Bahujan Samaj Party,413,7,420,0.29,Narasapuram,58,Andhra Pradesh 
783,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,43945,433,44378,30.52,Narasapuram,58,Andhra Pradesh 
784,AKULA VENKATA SWAMY,Bharatha Chaitanya Yuvajana Party,539,1,540,0.37,Narasapuram,58,Andhra Pradesh 
785,KOLLI SATYA NAYAKAR,Navarang Congress Party,1169,3,1172,0.81,Narasapuram,58,Andhra Pradesh 
786,PALEPU SATYA LINGA NAYAKAR,Jatiya Jana Sena Party,339,4,343,0.24,Narasapuram,58,Andhra Pradesh 
787,POTHURAJU YACOBU,Jaibhim Rao Bharat Party,372,0,372,0.26,Narasapuram,58,Andhra Pradesh 
788,BURRA RAMAKRISHNA,Pyramid Party of India,425,0,425,0.29,Narasapuram,58,Andhra Pradesh 
789,BOMMIDI NARAYANA NAYAKAR,Janasena Party,93041,1075,94116,64.72,Narasapuram,58,Andhra Pradesh 
790,KANCHANA VENKATA RAMESH,Independent,295,0,295,0.2,Narasapuram,58,Andhra Pradesh 
791,GADI RAVI,Independent,226,0,226,0.16,Narasapuram,58,Andhra Pradesh 
792,NOTA,None of the Above,1208,8,1216,0.84,Narasapuram,58,Andhra Pradesh 
793,ANKEM SEETARAM,Indian National Congress,3205,47,3252,1.59,Bhimavaram ,59,Andhra Pradesh 
794,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,62662,788,63450,31.11,Bhimavaram ,59,Andhra Pradesh 
795,BUGGE RACHERLA,Bahujan Samaj Party,1037,0,1037,0.51,Bhimavaram ,59,Andhra Pradesh 
796,ALLURI SRINIVASA RAJU,Pyramid Party of India,269,1,270,0.13,Bhimavaram ,59,Andhra Pradesh 
797,KADIEM RAMANJANEYULU,Jatiya Jana Sena Party,631,5,636,0.31,Bhimavaram ,59,Andhra Pradesh 
798,DANDU . SRINIVASA RAJU,All India Forward Bloc,219,2,221,0.11,Bhimavaram ,59,Andhra Pradesh 
799,PEPETI VADDI KASULU,Bharatha Chaitanya Yuvajana Party,272,0,272,0.13,Bhimavaram ,59,Andhra Pradesh 
800,PERICHERLA RAMANJANEYULU,Navarang Congress Party,1503,0,1503,0.74,Bhimavaram ,59,Andhra Pradesh 
801,BASWANI PAVAN KUMAR,Jaibhim Rao Bharat Party,574,1,575,0.28,Bhimavaram ,59,Andhra Pradesh 
802,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,128701,1723,130424,63.94,Bhimavaram ,59,Andhra Pradesh 
803,YEDUKONDALU,Independent,388,0,388,0.19,Bhimavaram ,59,Andhra Pradesh 
804,GUGGILAPU RAMAKRISHNA,Independent,143,0,143,0.07,Bhimavaram ,59,Andhra Pradesh 
805,CHAMAKURI KUSUMA KUMARI PADMAVATHI,Independent,131,0,131,0.06,Bhimavaram ,59,Andhra Pradesh 
806,MANDAVA. NAGESWARA RAO,Independent,240,0,240,0.12,Bhimavaram ,59,Andhra Pradesh 
807,MEHAR MANOHAR PENTAPATI,Independent,231,0,231,0.11,Bhimavaram ,59,Andhra Pradesh 
808,NOTA,None of the Above,1199,11,1210,0.59,Bhimavaram ,59,Andhra Pradesh 
809,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam,115942,960,116902,59.8,Undi,60,Andhra Pradesh 
810,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),Yuvajana Sramika Rythu Congress Party,59521,604,60125,30.76,Undi,60,Andhra Pradesh 
811,MALLIPUDI SHARMILA,Bahujan Samaj Party,1137,3,1140,0.58,Undi,60,Andhra Pradesh 
812,VENKATA GOPALA KRISHNAM RAJU VEGESNA,Indian National Congress,1142,15,1157,0.59,Undi,60,Andhra Pradesh 
813,ALLURI SATISH CHANDRA KUMAR,Pyramid Party of India,112,2,114,0.06,Undi,60,Andhra Pradesh 
814,KADIYAM SURIBABU,Nationalist Janshakti Party,95,0,95,0.05,Undi,60,Andhra Pradesh 
815,RAVI VARMA MUDUNDI,Akhil Bharatiya Jan Sangh,111,0,111,0.06,Undi,60,Andhra Pradesh 
816,SIVA RAMA RAJU .P,Neethi Nijayithi Party,169,0,169,0.09,Undi,60,Andhra Pradesh 
817,V V SIVA RAMA RAJU (KALAVAPUDI SIVA),All India Forward Bloc,13107,153,13260,6.78,Undi,60,Andhra Pradesh 
818,KUNAPARAJU VENKATA KRISHNAM RAJU,Independent,109,0,109,0.06,Undi,60,Andhra Pradesh 
819,PREMAKUMAR DIDLA (YENDAGANDI PREMJI),Independent,117,0,117,0.06,Undi,60,Andhra Pradesh 
820,SIVA GAJULA (KOLAMURU SIVA),Independent,185,0,185,0.09,Undi,60,Andhra Pradesh 
821,SATEESH RAJU DANDU,Independent,381,0,381,0.19,Undi,60,Andhra Pradesh 
