S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1340,HAROON RASHEED SHAIK,Independent,1560,17,1577,0.88,Guntur East,95,Andhra Pradesh 
1341,NOTA,None of the Above,1197,18,1215,0.68,Guntur East,95,Andhra Pradesh 
1342,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,77036,764,77800,39.82,Chilakaluripet,96,Andhra Pradesh 
1343,KOPPULA BABU RAO,Bahujan Samaj Party,455,9,464,0.24,Chilakaluripet,96,Andhra Pradesh 
1344,PRATHIPATI PULLARAO,Telugu Desam,109573,1489,111062,56.84,Chilakaluripet,96,Andhra Pradesh 
1345,MADDULA RADHA KRISHNA,Indian National Congress,2235,35,2270,1.16,Chilakaluripet,96,Andhra Pradesh 
1346,MUKIRI. RAMAKOTESWARA RAO,Indian Labour Party (Ambedkar Phule),61,0,61,0.03,Chilakaluripet,96,Andhra Pradesh 
1347,RATNA KUMARI. TANNIRU,Pyramid Party of India,97,0,97,0.05,Chilakaluripet,96,Andhra Pradesh 
1348,RAVU SUBRAHMANYAM,Navataram Party,414,4,418,0.21,Chilakaluripet,96,Andhra Pradesh 
1349,VINOD KUMAR DOPPALAPUDI,Bharatha Chaitanya Yuvajana Party,28,0,28,0.01,Chilakaluripet,96,Andhra Pradesh 
1350,SHAIK GOUSE BASHA,Rashtriya Jankranti Party,28,0,28,0.01,Chilakaluripet,96,Andhra Pradesh 
1351,KATTA KIRAN KUMAR,Independent,22,0,22,0.01,Chilakaluripet,96,Andhra Pradesh 
1352,KUMAR SIVARAM VINAY. T,Independent,27,0,27,0.01,Chilakaluripet,96,Andhra Pradesh 
1353,GOUTHAM KATA,Independent,38,1,39,0.02,Chilakaluripet,96,Andhra Pradesh 
1354,CHELLI. DAYARATHNAM,Independent,34,0,34,0.02,Chilakaluripet,96,Andhra Pradesh 
1355,TANUBODDI SUNDARARAMIREDDY,Independent,44,0,44,0.02,Chilakaluripet,96,Andhra Pradesh 
1356,THAMMULURI RAMANAIAH,Independent,67,0,67,0.03,Chilakaluripet,96,Andhra Pradesh 
1357,NALLAMOTHU. MADHAVA RAO,Independent,227,0,227,0.12,Chilakaluripet,96,Andhra Pradesh 
1358,PRATHIPATI PICHAIAH,Independent,1060,0,1060,0.54,Chilakaluripet,96,Andhra Pradesh 
1359,PRATHIPATI RAVI BABU,Independent,127,0,127,0.06,Chilakaluripet,96,Andhra Pradesh 
1360,BAHUJANKU RAJESH,Independent,296,0,296,0.15,Chilakaluripet,96,Andhra Pradesh 
1361,MANOHAR DAMARLA,Independent,227,0,227,0.12,Chilakaluripet,96,Andhra Pradesh 
1362,P RAHAMTHUN,Independent,57,0,57,0.03,Chilakaluripet,96,Andhra Pradesh 
1363,RAMI REDDY MARELLA,Independent,34,0,34,0.02,Chilakaluripet,96,Andhra Pradesh 
1364,VANTARI. VIJAYAMMA,Independent,28,0,28,0.01,Chilakaluripet,96,Andhra Pradesh 
1365,SAMBASIVARAO PONNEGANTI,Independent,39,0,39,0.02,Chilakaluripet,96,Andhra Pradesh 
1366,SAI GANESH KORNEPATI,Independent,53,3,56,0.03,Chilakaluripet,96,Andhra Pradesh 
1367,NOTA,None of the Above,774,14,788,0.4,Chilakaluripet,96,Andhra Pradesh 
1368,ARAVINDA BABU CHADALAVADA,Telugu Desam,101270,1897,103167,53.98,Narasaraopet,97,Andhra Pradesh 
1369,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,82271,1191,83462,43.67,Narasaraopet,97,Andhra Pradesh 
1370,BUDALA SAMELU,Bahujan Samaj Party,821,7,828,0.43,Narasaraopet,97,Andhra Pradesh 
1371,MAHABOOB BASHA SHAIK,Indian National Congress,1790,30,1820,0.95,Narasaraopet,97,Andhra Pradesh 
1372,GOGULA MANOHAR,Bharatha Chaitanya Yuvajana Party,118,1,119,0.06,Narasaraopet,97,Andhra Pradesh 
1373,GODA JOHN PAUL,Jaibhim Rao Bharat Party,181,1,182,0.1,Narasaraopet,97,Andhra Pradesh 
1374,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,66,0,66,0.03,Narasaraopet,97,Andhra Pradesh 
1375,TALLAPANENI HARI KRISHNA,Pyramid Party of India,34,0,34,0.02,Narasaraopet,97,Andhra Pradesh 
1376,ANIL KUMAR PATHRI,Independent,94,6,100,0.05,Narasaraopet,97,Andhra Pradesh 
1377,KUCHIPUDI CHANDRA SEKHAR,Independent,50,2,52,0.03,Narasaraopet,97,Andhra Pradesh 
1378,KOTI REDDY.KUMMETA,Independent,38,1,39,0.02,Narasaraopet,97,Andhra Pradesh 
1379,MAHAMMAD MANZOOR SHAIK.,Independent,47,0,47,0.02,Narasaraopet,97,Andhra Pradesh 
1380,SRIRAMINENI. PRASAD.,Independent,50,0,50,0.03,Narasaraopet,97,Andhra Pradesh 
1381,SHAIK . MOULALI,Independent,98,1,99,0.05,Narasaraopet,97,Andhra Pradesh 
1382,NOTA,None of the Above,1033,19,1052,0.55,Narasaraopet,97,Andhra Pradesh 
1383,AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party,89400,729,90129,42.4,Sattenapalle,98,Andhra Pradesh 
1384,KANNA LAKSHMINARAYANA,Telugu Desam,116798,1167,117965,55.5,Sattenapalle,98,Andhra Pradesh 
1385,CHUKKA CHANDRA PAUL,Indian National Congress,1548,32,1580,0.74,Sattenapalle,98,Andhra Pradesh 
1386,PERUPOGU NAVEEN BABU,Bahujan Samaj Party,641,6,647,0.3,Sattenapalle,98,Andhra Pradesh 
1387,GODA VENKATA RAMANA,Jatiya Jana Sena Party,117,2,119,0.06,Sattenapalle,98,Andhra Pradesh 
1388,JONNALAGADDA VIJAY KUMAR,Jaibhim Rao Bharat Party,164,6,170,0.08,Sattenapalle,98,Andhra Pradesh 
1389,YAMMOJI HANUMANTHA RAO,Yuga Thulasi Party,106,1,107,0.05,Sattenapalle,98,Andhra Pradesh 
1390,RANGISETTI NAGESWARA RAO,Pyramid Party of India,84,0,84,0.04,Sattenapalle,98,Andhra Pradesh 
1391,SHEK DARIYAVALI,Jai Bharat National Party,45,2,47,0.02,Sattenapalle,98,Andhra Pradesh 
1392,GADDAM RAMBABU,Independent,61,2,63,0.03,Sattenapalle,98,Andhra Pradesh 
1393,P. GOVINDA RAMESH BABU,Independent,28,0,28,0.01,Sattenapalle,98,Andhra Pradesh 
1394,JAKRIYA KANDUKURI,Independent,212,1,213,0.1,Sattenapalle,98,Andhra Pradesh 
1395,PADI MANIKANTA,Independent,108,0,108,0.05,Sattenapalle,98,Andhra Pradesh 
1396,MEKALA VENUMADHAVA REDDY,Independent,78,0,78,0.04,Sattenapalle,98,Andhra Pradesh 
1397,MEKALA SUBBARAO,Independent,90,0,90,0.04,Sattenapalle,98,Andhra Pradesh 
1398,NOTA,None of the Above,1126,14,1140,0.54,Sattenapalle,98,Andhra Pradesh 
1399,GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desam,129813,1625,131438,55.06,Vinukonda,99,Andhra Pradesh 
1400,CHENNA SRINIVASA RAO,Indian National Congress,1890,12,1902,0.8,Vinukonda,99,Andhra Pradesh 
1401,BOLLA BRAHMA NAIDU,Yuvajana Sramika Rythu Congress Party,100130,1041,101171,42.38,Vinukonda,99,Andhra Pradesh 
1402,MASIPOGU YESOBU,Bahujan Samaj Party,1239,4,1243,0.52,Vinukonda,99,Andhra Pradesh 
1403,KUKATLAPALLI PRASAD,Jaathia Chethi Vruthula Ikya Vedika Party,126,0,126,0.05,Vinukonda,99,Andhra Pradesh 
